School URN,School Name,Region,Local Authority,Phase of Education,School Type
144899,Farnborough Grange Nursery & Infant Community School,South East,Hampshire,Primary,Academy converter
146278,Rose Hill Primary School,South East,Oxfordshire,Primary,Academy sponsor led
146284,Oasis Academy Sholing,South East,Southampton,Secondary,Academy sponsor led
146438,Surrey Hills All Saints Primary School,South East,Surrey,Primary,Academy sponsor led
146527,Unified Academy,South East,Surrey,Special school,Academy special sponsor led
146820,Lynch Hill Enterprise Academy,South East,Slough,Secondary,Free schools
146941,Sutton Courtenay Church of England Primary School,South East,Oxfordshire,Primary,Academy converter
147023,Beechwood Primary School,South East,Wokingham,Primary,Academy sponsor led
147154,Moorland Primary School,South East,Milton Keynes,Primary,Academy sponsor led
147728,Orion Academy,South East,Oxfordshire,Special school,Academy special sponsor led
148118,Eastchurch Church of England Primary School,South East,Kent,Primary,Academy converter
148179,The Turing School,South East,East Sussex,Secondary,Academy sponsor led
148193,Water Hall Primary School,South East,Milton Keynes,Primary,Academy sponsor led
148215,Weyford Nursery and Primary Academy,South East,Hampshire,Primary,Academy converter
148354,The Oxford Academy,South East,Oxfordshire,Secondary,Academy sponsor led
148835,Stantonbury School,South East,Milton Keynes,Secondary,Academy sponsor led
108970,Upper Horfield Primary School,South West,"Bristol, City of",Primary,Community school
126479,Frogwell Primary School,South West,Wiltshire,Primary,Foundation school
136556,Plympton Academy,South West,Plymouth,Secondary,Academy converter
136774,Minehead Middle School,South West,Somerset,Secondary,Academy converter
138005,Seven Fields Primary School,South West,Swindon,Primary,Academy converter
138496,SGS Forest High School,South West,Gloucestershire,Secondary,Academy sponsor led
138863,Paignton Academy,South West,Torbay,Secondary,Academy converter
139037,Oak Academy,South West,"Bournemouth, Christchurch and Poole",Secondary,Academy converter
140631,Danesfield Church of England Voluntary Controlled Community Middle School,South West,Somerset,Secondary,Academy converter
140693,St Boniface's RC College,South West,Plymouth,Secondary,Academy sponsor led
140757,St Catherine's Roman Catholic School,South West,Dorset,Primary,Academy converter
140765,St Joseph's Catholic Primary School,South West,Devon,Primary,Academy converter
140770,St Mary & St Joseph's Catholic Primary School,South West,Dorset,Primary,Academy converter
143108,St Martin's Garden Primary School,South West,Bath and North East Somerset,Primary,Academy sponsor led
145058,SGS Pegasus School,South West,South Gloucestershire,Special school,Free schools special
146263,Roundhill Primary School,South West,Bath and North East Somerset,Primary,Academy sponsor led
146668,The Chalet School,South West,Swindon,Special school,Academy special sponsor led
147214,All Saints' Church of England Academy,South West,Dorset,Secondary,Academy sponsor led
147443,Budmouth Academy Weymouth,South West,Dorset,Secondary,Academy sponsor led
116936,Aylestone School,West Midlands,"Herefordshire, County of",Secondary,Community school
123518,Long Mountain CofE Primary School,West Midlands,Shropshire,Primary,Voluntary controlled school
124227,St Paul's CofE (C) Primary School,West Midlands,Stoke-on-Trent,Primary,Voluntary controlled school
124395,Norton Canes High School,West Midlands,Staffordshire,Secondary,Community school
130379,The Dassett CofE Primary School,West Midlands,Warwickshire,Primary,Voluntary controlled school
135582,Haberdashers' Abraham Darby,West Midlands,Telford and Wrekin,Secondary,Academy sponsor led
135662,The Hereford Church of England Academy,West Midlands,"Herefordshire, County of",Secondary,Academy sponsor led
138351,The Rural Enterprise Academy,West Midlands,Staffordshire,Secondary,Free schools
