URN,OfstedURN,EstablishmentName,EstablishmentPostcode
518986,110155,CROSFIELDS SCHOOL TRUST LTD ,RG2 9BL
110557,110557,CROWN HOUSE SCHOOL,HP11 1QX
101845,101845,CROYDON HIGH SCHOOL,CR2 8YB
130857,,CRYSTAL GARDENS PRIMARY SCHOOL,BD5 7PE
520436,101829,CUMNOR HOUSE CROYDON,CR2 6DH
598991,136226,CUMNOR HOUSE PURLEY,CR8 3HB
697445,999999,CUMNOR HOUSE SUSSEX,RH17 7HT
121752,,CUNDALL MANOR SCHOOL,YO61 2RW
636365,110554,DAIR HOUSE PREPARATORY SCHOOL,SL2 3BY
535341,133425,DALE HOUSE INDEPENDENT PREP SCHOOL & NURSERY,WF17 8HL
628196,,DAME ALLAN'S JUNIOR SCHOOL AND NURSERY,NE2 4PG
518220,113023,DAME CATHERINE HARPUR'S SCHOOL (EY),DE73 7JW
512032,6272,DANES HILL PREPARATORY SCHOOL,KT22 0GJ
548228,6091,DANESFIELD MANOR SCHOOL NURSERY,KT12 3JB
743410,116550,DANESHILL SCHOOL 116550,RG27 0AR
533080,2675503,DARUL MADINAH LONDON LIMITED,E7 9HZ
603433,139221,DATE PALM PRIMARY SCHOOL,E1 2DE
551469,109774,DATE VALLEY SCHOOL TRUST,CR4 4LB
552104,EY365122,DAVENPORT LODGE NURSERYSCHOOL,CV5 6QA
605728,2503179,DAZZLING STARS PRE-SCHOOL,DA8 1SA
513532,115799,DEAN CLOSE AIRTHRIE SCHOOL (DCAS) - NUIS,GL50 2NY
679746,EY494618,DEAN CLOSE LITTLE TREES NURSERY TUTSHILL,NP16 7LE
582983,6034,DEAN CLOSE PRE-PREPARATORY SCHOOL - NUIS,GL51 6QS
639081,105355,DERBY HIGH SCHOOL - NURSERY UNIT,DE23 3DT
100080,333333,DEVONSHIRE HOUSE PREPARATORY SCHOOL,NW3 6AE
743405,116575,DITCHAM PARK SCHOOL 116575,GU31 5RN
512321,EY291341,DOLPHIN SCHOOL LTD,RG10 0FR
102687,102687,DONHEAD PREPARATORY SCHOOL,SW19 4NP
118940,,DOVER COLLEGE,CT17 9RH
546801,EY398091,DOWNHAM NURSERY SCHOOL,PE38 9QG
500329,EY305661,DOWNHAM PREPARATORY SCHOOL & MONTESSORI NURSERY,PE34 3HT
583683,117002,DOWNS MALVERN COLLEGE PRE-PREP,WR13 6EY
120728,120728,DUDLEY HOUSE SCHOOL,NG31 9AA
125336,6036,DUKE OF KENT SCHOOL,GU6 7NS
118990,,DULWICH PREP CRANBROOK,TN17 3NP
514485,,DUMPTON NURSERY,BH21 7AF
510550,EY291547,DUNANNIE SCHOOL  (BEDALES),GU32 2DP
641062,EY245522,DURHAM CATHEDRAL SCHOOLS FOUNDATION - FULL DAY CARE + NURS ED,DH1 3LS
515154,116522,DURLSTON COURT SCHOOL (KINDERGARTEN DEPARTMENT) 850/6056,BH25 7AQ
110133,110133,EAGLE HOUSE SCHOOL,GU47 8PH
605733,2611317,EASY PEASY NURSERY AND DAYCARE,DA18 4HB
100371,EY100371,ECOLE FRANÇAISE DE LONDRES JACQUES PRÉVERT,W6 7BE
598904,EY100547,ECOLE MARIE D'ORLIAC,SW6 3AA
511622,EY312370,EDENHURST PREPARATORY SCHOOL   053,ST5 2PU
103567,,EDGBASTON HIGH SCHOOL FOR GIRLS,B15 3TS
695202,6037,EDGEBOROUGH NURSERY,GU10 3AH
136014,EY136014,EDGWARE JEWISH GIRLS - BEIS CHINUCH,HA8 7PH
131351,131351,EDUCARE SMALL SCHOOL,KT2 6DZ
585254,100298,EGERTON NURSERY,N16 6UE
615490,103876,ELMFIELD KINDERGARTEN & NURSERY,DY8 2EA
517949,101831,ELMHURST SCHOOL,CR2 7DW
599830,116515,EMBLEY 116515,SO51 6ZA
123317,123317,EMMANUEL CHRISTIAN SCHOOL,OX4 4PU
599366,130323,EMMANUEL NURSERY,WS2 8PR
537680,381/6000,EMMANUEL SCHOOL - NURSERY UNIT,DE22 1FP
125420,6528,ESSENDENE LODGE SCHOOL,CR3 5PB
511110,EY291473,ETON END SCHOOL NURSERY,SL3 9AX
100372,EY293355,EVERGREEN PRIMARY SCHOOL,SW6 4HW
510563,0,EVERSFIELD PREPARATORY SCHOOL NURSERY,B91 1AT
510524,6203,EWELL CASTLE PREPARATORY SCHOOL,KT17 2AW
113561,113561,EXETER CATHEDRAL SCHOOL,EX1 1HX
109363,109363,FAIRFIELD PNEU SCHOOL,BS48 3PD
522361,EY543855,FAIRSTEAD HOUSE SCHOOL,CB8 7AA
612461,145195,FALCONS PREP SCHOOL RICHMOND,TW9 2SS
100523,100523,FALCONS PRE-PREPARATORY CHISWICK,W4 3DT
100520,100520,FALKNER HOUSE,SW7 4QB
601840,,FALKNER HOUSE BOYS SCHOOL,SW5 9SU
582272,12448,FARLEIGH PRE PREP AND KINDERGARTEN 012448,SP11 7PW
606381,101685,FARRINGTONS PRE SCHOOL,BR7 6LR
582736,105747,FARROWDALE HOUSE SCHOOL (NURSERY CLASS),OL2 7AD
639685,2660806,FERNDOWN DAY NURSERY,BH22 9BG
511165,111165,FINBOROUGH SCHOOL MONTESSORI NURSERY,IP14 3EF
605124,EY303773,FINCHLEY YOCHIEN,N3 1UE
511149,EY604500,FIRS EDUCATION LTD,CH2 2HJ
520409,9216002,FIVEWAYS  RYDE SCHOOL WITH UPPER CHINE,PO33 3BE
524726,EY256367,FLETEWOOD SCHOOL,PL4 6AN
547350,ISA132048,FOREST FARM (OXFORD MONTESSORI NURSERY),OX3 9UW
106382,511976,FOREST PARK PREPARATORY SCHOOL,M33 6NB
103110,518651,FOREST SCHOOL,WA15 6LJ
639673,2623955,FORGET ME NOT DAY NURSERY,DT9 4EG
512567,116519,FORRES SANDLE MANOR PREPARATORY SCHOOL,SP6 1NS
524470,119016,FOSSE BANK NEW SCHOOL,TN11 8ND
693485,6038,FRENSHAM HEIGHTS NURSERY,GU10 4EA
584536,131165,FULHAM PREP SCHOOL,SW6 3JJ
118944,,GAD'S HILL SCHOOL,ME3 7PA
100522,100522,GARDEN HOUSE SCHOOL,SW3 4TW
100980,100980,GATEHOUSE SCHOOL,E2 9JG
108419,108419,GATESHEAD JEWISH NURSERY SCHOOL,NE8 1RB
516330,516330,GATEWAY SCHOOL AND CLUB,HP16 9AA
108104,529206,GATEWAYS SCHOOL,LS17 9LE
510564,110549,GENEVIEVE EARLY YEARS,MK17 0HJ
107449,,GHYLL ROYD SCHOOL AND PRE-SCHOOL,LS29 7HW
102355,240583,GIDEA PARK PREPARATORY SCHOOL AND NURSERY,RM2 5JR
555087,EX53,GIGGLESWICK JUNIOR SCHOOL EARLY YEARS UNIT,BD24 0DG
121223,EY298976,GLEBE HOUSE SCHOOL,PE36 6HW
100508,100508,GLENDOWER PREPARATORY SCHOOL,SW7 5JX
125377,6181,GLENESK SCHOOL,KT24 6NS
540052,540052,GODOLPHIN PREP SCHOOL (EARLY YEARS),SP1 2RB
604619,EY140962,GORESBROOK SCHOOL,RM9 6XW
115396,510540,GOSFIELD SCHOOL,CO9 1PF
109343,109343,GRACEFIELD PREPARATORY SCHOOL,BS16 2RG
102062,102062,GRANGE PARK PREPARATORY SCHOOL,N21 2EA
102789,3166051,GRANGEWOOD INDEPENDENT SCHOOL,E7 8QT
667656,ISI,GRANVILLE SCHOOL  THE - THE ENA MAKIN EDUCATIONAL TRUST,TN13 3LJ
519266,999999,GREAT BALLARD NURSERY,PO18 0LR
512585,EY287053,GREENBANK SCHOOL,SK8 6HU
125399,6401,GREENFIELD SCHOOL,GU22 8HY
538276,EY452879,GREENFIELDS MONTESSORI NURSERY,RH18 5JD
784147,2661290,GREENWICH HOUSE SCHOOL  KINDERGARTEN & CRECHE,LN11 0HE
132066,132066,GREENWICH STEINER SCHOOL,SE3 7SE
500401,121222,GRESHAM'S NURSERY AND PRE-PREPARATORY SCHOOL,NR25 6BB
555593,110558,GRIFFIN HOUSE PREPARATORY SCHOOL,HP17 0XP
115437,580672,GURU GOBIND SINGH KHALSA COLLEGE,IG7 6BJ
682883,N/A,GURUKULA - THE HARE KRISHNA SCHOOL,WD25 8HB
125407,6444,HALL GROVE SCHOOL,GU19 5HZ
515626,257164,HALLFIELD PRE-PREP  NURSERY DEPT,B15 3SJ
517886,6402,HALSTEAD SCHOOL,GU21 4EE
612381,133443,HAMPTON COURT HOUSE SCHOOL,KT8 9BS
