URN,OfstedURN,EstablishmentName,EstablishmentPostcode
518255,6019,WESTONBIRT PREP NURSERY,GL8 8QG
107453,,WESTVILLE HOUSE SCHOOL,LS29 0DQ
620455,137822,WESTWOOD HIGH KINDERGARTEN,OL9 6HR
511119,EY449864,WHITEHALL SCHOOL NURSERY,PE28 3EH
606310,EY407022,WICKHAM COURT SCHOOL,BR4 9HW
583014,115391,WIDFORD LODGE PREPARATORY SCHOOL,CM2 9AN
760797,EY426332,WILLIAMS  JODIE,CO12 4HY
513019,101069,WILLINGTON SCHOOL FOUNDATION,SW19 7QQ
111477,,WILMSLOW PREPARATORY SCHOOL,SK9 5EG
122125,122125,WINCHESTER HOUSE SCHOOL,NN13 7AZ
572001,EY413618,WINDERMERE SCHOOL ELLERAY CAMPUS,LA23 1NW
582192,114618,WINDLESHAM SCHOOL TRUST LTD,BN1 5AA
123319,EY291577,WINDRUSH VALLEY SCHOOL,OX7 6AN
120727,ISI Inspe,WITHAM HALL SCHOOL,PE10 0JJ
137809,137809,WIZNITZ CHEDER SCHOOL,N16 6QT
104411,,WOLVERHAMPTON GRAMMAR SCHOOL,WV3 9RB
513412,EY287516,WOODHOUSE NURSERY AT WINTERFOLD HOUSE (PRE-SCHOOL),DY10 4PW
512574,EY241485,WORKSOP COLLEGE PREPARATORY SCHOOL (AKA RANBY HSE),DN22 8HX
530009,6018,WYCLIFFE NURSERY,GL10 2LD
539938,EY332876,YARLET SCHOOL   707,ST18 9SU
111771,,YARM PREPARATORY SCHOOL,TS15 9ES
512583,EY297375,YATELEY MANOR PREPARATORY SCHOOL,GU46 7UQ
531241,100287,YESODEY HATORAH BOYS SCHOOL,N16 5AE
146748,100287,YESODEY HATORAH GIRLS SCHOOL,N16 5LG
594150,999999,YORK STEINER SCHOOL KINDERGARTEN,YO10 4PB
111479,111479,YORSTON LODGE SCHOOL,WA16 0DP
545369,EY389586,ZELDA SCHOOL,TR12 6UJ
109357,,TOCKINGTON MANOR SCHOOL,BS32 4NY
