URN,EstablishmentName,EY_list.Ofsted URN
122972,Lydalls Nursery School,
132104,Evesham Nursery School,
101862,Greenfields Nursery School and Children's Centre,
102560,Surbiton Hill Nursery School,
105384,Martenscroft Nursery School & Children's Centre,
101860,Grove House Nursery School & Children's Centre,
110199,Bowerdean Nursery School,
115831,Hardmoor Early Years Centre,
103030,Acacia Nursery,
110594,Homerton Early Years Centre,
112469,Hadfield Nursery School,
100474,Chelsea Open Air Nursery School,
121266,St Paul's Nursery School,
122974,The ACE Centre Nursery School,
112091,Kendal Nursery School,
112481,Flagg Nursery School,
123347,Madeley Nursery School,
109758,The Lawns Nursery School,
108661,Clervaux Nursery School,
121785,Gloucester Nursery School,
113052,Plym Bridge Nursery and Day Care,
108752,Mill Hill Nursery School,
100992,Somerset Nursery School and Children's Centre,
120765,Emneth Nursery School,
121788,Parklands Nursery School,
122969,Grandpont Nursery School,
